,Ticker,Name ,RetYTD,ggroup,Industry
437,CPF,Central Pacific Financial Company ,-0.0564,4010,Banks
438,CPK,Chesapeake Utilities Corp ,-0.0634,5510,Utilities
439,CPRT,Copart Inc ,-0.2285,2020,Commercial  & Professional Services
440,CPRT,Copart Inc ,-0.2285,2020,Commercial  & Professional Services
441,CPRX,Catalyst Pharm Inc ,0.2422,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
442,CPS,Cooper Std Holdings Inc ,-0.6859,2510,Automobiles & Components
443,CPSI,Computer Programs ,0.1529,3510,Health Care Equipment & Services
444,CPT,Camden Property Trust ,-0.0787,6010,Real Estate
445,CR,Crane Company ,0.0388,2010,Capital Goods
446,CRAI,Cra International ,-0.0895,2020,Commercial  & Professional Services
447,CRAI,Cra International ,-0.0895,2020,Commercial  & Professional Services
448,CRI,Carter's Inc ,-0.1138,2520,Consumer Durables & Apparel
449,CRIS,Curis Inc ,-0.7248,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
450,CRK,Comstock Resources ,1.063,1010,Energy
451,CRL,Charles River Laboratories Intl ,-0.2446,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
452,CRM,Salesforce Inc ,-0.2547,4510,Software & Services
453,CRMT,America's Car-Mart ,-0.192,2550,Retailing
454,CROX,Crocs Inc ,-0.436,2520,Consumer Durables & Apparel
455,CRS,Carpenter Technology Corp ,0.4546,1510,Materials
456,CRUS,Cirrus Logic Inc ,-0.1803,4530,Semiconductors & Semiconductor Equipment
457,CRVL,Corvel Cp ,-0.1403,3510,Health Care Equipment & Services
458,CSCO,Cisco Systems Inc ,-0.1925,4520,Technology Hardware & Equipment
459,CSGP,Costar Group Inc ,-0.2178,2020,Commercial  & Professional Services
460,CSGP,Costar Group Inc ,-0.2178,2020,Commercial  & Professional Services
461,CSGS,C S G Sys Intl ,0.1177,4510,Software & Services
462,CSII,Cardiovascular Syst ,0.1464,3510,Health Care Equipment & Services
463,CSL,Carlisle Companies Inc ,-0.0154,2010,Capital Goods
464,CSTM,Constellium N.V. ,-0.0374,1510,Materials
465,CSTR,Capstar Financial Holdings Inc ,-0.0323,4010,Banks
466,CSV,Carriage Services ,-0.1949,2530,Consumer Services
467,CSWI,Csw Industrials Inc ,-0.0923,2010,Capital Goods
468,CSX,CSX Corp ,-0.0676,2030,Transportation
469,CTAS,Cintas Corp ,-0.0666,2020,Commercial  & Professional Services
470,CTAS,Cintas Corp ,-0.0666,2020,Commercial  & Professional Services
471,CTBI,Community TR Bancp ,-0.0837,4010,Banks
472,CTLT,Catalent Inc ,-0.2399,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
473,CTMX,Cytomx Thera ,-0.4665,3520,"Pharmaceuticals, Biotechnology & Life Sciences"
474,CTO,Cto Realty Growth Inc ,0.0612,6010,Real Estate
475,CTRE,Caretrust REIT Inc ,-0.2326,6010,Real Estate
