,Ticker,Book/Price,E/P,EBIT/P,SALES/P,Total assets turnover,LT_Debit/Total_assets,ROA,RE/Total_Assets,NET PROFIT MARGIN,Market_Value/Book_Equity,SALES/PS
469,FL,0.6098383184589784,0.07108544816393,0.07680749662294604,1.6611546834097326,1.071702399545648,0.35595626863552465,0.04955274740877467,0.28325997444270906,0.04623741388447271,1.6397788884879105,1.6611546834097326
470,WOR,0.4104157715745059,0.21245771033524663,0.08471156611855545,0.9309190362337417,0.9401715558757221,0.2186040444734966,0.08555352486996944,0.33066172187315185,0.09099778049579543,2.436553537315664,0.9309190362337417
471,XRX,1.2292582756432673,-0.12608487723572734,0.11001251925842585,1.9502975076594484,0.5322544052030553,0.2877561824094381,0.03002344399909249,0.19987899871436135,0.05640807047456664,0.8134986925157799,1.9502975076594484
472,YORW,0.23380845575230666,0.02601854786660623,0.03584137693635889,0.08443925693944115,0.12012343822531399,0.3026437660863065,0.050988007052367536,0.14033252479552275,0.42446343366171374,4.277005281021084,0.08443925693944115
473,TJX,0.07560298373249194,0.00117266800983536,0.006095099792913466,0.41655783431739346,1.0429488580593833,0.42436314148107873,0.015260491689452906,0.1417386276916117,0.014632061362863111,13.226991193076806,0.41655783431739346
474,ZION,0.7333473605290376,0.11789109640285966,0.18806188186142628,0.31012981073205775,0.031866952789699574,0.010128755364806867,0.01932403433476395,0.054667381974248926,0.6063973063973064,1.363610280506906,0.31012981073205775
475,OSK,0.46647785406513664,0.06789336831596468,0.07915387196726917,1.1112996798627321,1.122714609089326,0.14440768471762724,0.07996691624586454,0.4350658772999013,0.07122639680508705,2.143724490424287,1.1112996798627321
476,WTM,1.1595286746823525,-0.09006682527055505,-0.09127599527600155,0.2903968829296633,0.1269301641264445,0.10544659819732313,-0.039896010398960104,0.4227005870841487,-0.31431465226198513,0.8624193793861504,0.2903968829296633
477,QLYS,0.08137100474560163,0.013221665659328282,0.021424278220216236,0.07661187588045841,0.5047786593727404,0.04409011501929265,0.1411598177664233,-0.04990184873041732,0.2796469603961359,12.289389852397678,0.07661187588045841
478,ALEX,0.58635807644205,0.019460974972856336,0.04903725897115213,0.21890848119184728,0.21183104585594212,0.27768911586338973,0.04745185658048729,-0.39573358867964675,0.22400803616273232,1.7054425276579788,0.21890848119184728
479,SF,0.5911218424215754,0.11209107504143735,0.15247948189951552,0.6499800593019022,0.1404735986776982,0.057932261694407725,0.032953844107065214,0.08111451153115379,0.23459101508942132,1.6916986114121995,0.6499800593019022
480,LCII,0.2774285549281884,0.07304313390505045,0.10207695397852794,1.1354032852262552,1.3602704180598244,0.41829552318151486,0.12229334076215582,0.28292804281142814,0.08990369792543515,3.60453162530024,1.1354032852262552
481,JKHY,0.10903179296445219,0.02574109713607371,0.03279064487824737,0.14530704664693178,0.752614551425504,0.06397303947167912,0.16983840120265942,1.0326776122827415,0.2256645196149526,9.171636756684645,0.14530704664693178
482,ASB,1.1357575503198545,0.10403957911091415,0.16513230859413627,0.33421137125205097,0.03211904266984403,0.05383441715737407,0.015869871949703646,0.0758393576983393,0.4940954222338505,0.8804696034980157,0.33421137125205097
483,NMIH,0.8352742599917603,0.12329714259285468,0.17699138648391682,0.2587634298957349,0.1979416309846522,0.1622162254583709,0.135389934060535,0.24876794523421178,0.6735148091080294,1.197211560200436,0.2587634298957349
484,VLY,0.8411696100275995,0.08177044400881707,0.12900571461231486,0.2569975820218781,0.034277581711349765,0.03252728882776433,0.017206402834864985,0.01992598105211973,0.5019724839330691,1.1888208847288113,0.2569975820218781
485,LAND,0.5080881120373052,0.0030261584775383714,0.029491840887964083,0.06725518161453305,0.05747105175539196,0.5000244164107877,0.025201435388997818,-0.06030335540675521,0.438506598004506,1.9681625613916693,0.06725518161453305
486,BIG,0.6024961796152342,0.23173030579048096,0.18915714258230476,2.923139441497659,1.5354945201655479,0.37214351229064685,0.09936226502300943,0.8300194909563597,0.06471027002577436,1.6597615617058676,2.923139441497659
487,MS,0.5615658075345697,0.08642127064391522,0.12118177507279346,0.3513472451128603,0.05144259094046156,0.18375191475752015,0.017742858585688557,0.07265978756712171,0.34490600611900984,1.780735198943608,0.3513472451128603
488,TROW,0.20021536904538628,0.06841011684196764,0.08303344779621742,0.17024086911670555,0.6133104165001199,0.01992165640738668,0.29815968150690425,0.6441042449436406,0.4877409768114809,4.994621565606748,0.17024086911670555
489,NNN,0.4621276830112204,0.03436208684951034,0.04752829992576535,0.08310941038971269,0.09052678513141567,0.4832635664775397,0.05177012055392725,-0.09841358349458021,0.5718762737323958,2.1639041259852854,0.08310941038971269
490,MSFT,0.06970798868533909,0.030080557333995908,0.03432475798605634,0.08252159620630811,0.5035906992351227,0.21407278468687366,0.20946794136239846,0.17639515967151917,0.415948788729713,14.34555807533031,0.08252159620630811
491,ORCL,0.023639919348068975,0.062037863947796125,0.07062188964463217,0.18268810524827875,0.3087478166688277,0.5957958003767915,0.11935289496365564,-0.16242458449968347,0.38657081449640557,36.84245076874306,0.18268810524827875
492,COTY,0.3998496038823444,-0.028136374055831064,0.02211214294899391,0.6471366032841145,0.3381611814715807,0.41415048862789783,0.011554698569905195,-0.44389178608469554,0.03416920451845612,2.500940329290034,0.6471366032841145
493,RGEN,0.11944860322014553,0.0087563394748405,0.013189692354222453,0.04576644763407176,0.2843228794320106,0.04345912445714257,0.08194062468993206,0.07512612610320589,0.28819567687842823,8.371801536741165,0.04576644763407176
494,ASTE,0.41488326993200875,0.011286752567308201,0.015598545682909087,0.6957205009466606,1.203994293865906,0.004828267310435642,0.026994403599253817,0.571052342806979,0.022420707254830478,2.41031652147333,0.6957205009466606
495,WERN,0.42338645764186805,0.08261768568041973,0.08112257384777684,0.8720545930135286,1.0501817980706782,0.17096123881549155,0.09769279486640808,0.6323661632445665,0.09302465063275955,2.3619083273699673,0.8720545930135286
496,AMWD,0.44457437115786547,0.03516578871383026,0.06959909397062587,1.0436776175137752,1.0656884084095828,0.3807349035816376,0.07106691418466327,0.23242819798669614,0.0666863912789691,2.2493424382416918,1.0436776175137752
497,HOG,0.44112597070401816,0.11230515688312934,0.17619130121211146,0.9219581232642151,0.4828776981021269,0.418559223531147,0.09228060126386123,0.14491847158483964,0.19110553588735882,2.2669261535521086,0.9219581232642151
