,TICKER,mktrf,smb,hml
0,A,1.0141521115423624,-0.25367373359439593,-0.14360848462273962
1,AA,1.9841486335030982,0.5278617751638277,1.92484370907697
2,AAL,1.3155503068088255,0.6128252706264086,1.2481226034285182
4,AAON,0.5167787874945153,0.4221297491758923,-0.11706806541930587
5,AAP,1.1126462988708024,0.1231614785969144,0.4696513980919412
6,AAPL,1.3146470606979155,-0.34484983920610457,-0.714986339841703
7,AAT,1.0079454512665982,0.3847520082863109,0.6854241679077351
8,AAWW,0.9717792572921737,0.5912754798130249,0.28381897266932726
9,ABBV,0.7740710750045621,0.0834338047722048,0.20413421317392944
10,ABC,0.5207762193865749,-0.2798196113065769,-0.040483820323853406
11,ABCB,0.8936645066811973,1.158211912217931,1.2701261801345753
12,ABG,1.2776897254130761,0.1655312722916303,1.1034229819294543
13,ABM,1.2382166625798834,-0.4263071034024497,0.5246598277274058
14,ABMD,1.3024924251926482,0.9359276317498282,-1.0061872626651727
15,ABR,1.6258331007013722,0.85348488930068,0.5474684692405047
16,ABT,0.7644303033949378,-0.30482228476408946,-0.2665677002632496
17,ABTX,0.7173969136111509,0.8927896848029009,0.7685983264705186
18,ABUS,2.3440895611575545,2.002692672338809,0.22315077850493453
19,ACAD,0.5403522649193799,0.9848639240218066,-0.45956173507492304
20,ACC,0.8667737701810503,0.15124164814446706,0.5500413798510195
21,ACCO,1.797974136665645,1.2755222484059245,0.5103718630307121
22,ACGL,0.8352057436894786,-0.37684182133975275,0.5255961743661087
23,ACHC,1.13918266595794,0.8661778723761384,0.8845226298596092
24,ACIW,0.9808552070005723,0.45985096468116593,0.17770195610205833
25,ACLS,1.2322160862980471,0.7112119230622066,0.7555003291512321
26,ACM,1.3075788779230448,0.12914733983357418,0.6919589225882459
27,ACN,1.166169519772118,-0.4296449702478573,-0.07959914598771023
28,ACRE,1.0242477007842665,0.7381007060517689,0.8325784267545632
29,ACRS,-0.5518917090703245,6.60430121200477,1.4077192113203774
30,ADBE,1.138425468028121,-0.15335336911418554,-0.8279389376625383
31,ADC,0.41040522094220633,-0.22518775192641124,0.01476309636725616
32,ADI,0.9728337876021289,0.6546274606254768,0.13817661542247506
33,ADM,0.7954132483719398,-0.16771050160062495,0.5048308126567773
34,ADNT,2.5736366164162323,0.9024900294663747,1.6931268947199314
35,ADP,0.6518861416564379,0.11650651553598473,0.19519217260228994
36,ADSK,1.4328903445766008,0.13566804402215388,-0.47041341986564744
37,ADTN,1.077005069276879,1.2723915796915493,0.187909142743906
38,ADUS,0.71588462151975,0.5454620741974279,-0.34106533974292785
39,AEE,0.36060683353364315,-0.7543485566582497,0.22569850369331607
40,AEIS,1.5335934049670554,0.8139916974337388,0.06235842625393917
41,AEL,0.9721637304912888,0.6793868848567972,0.574388276291889
42,AEO,1.1117558656955089,1.2155933517621227,0.5107226853451615
43,AEP,0.387833403421575,-0.7067619402198124,0.20817518182256087
44,AERI,0.6237313699998216,1.5147024473378963,-0.4184581496001691
45,AES,0.7375715270219301,0.3822364013516516,0.2219551607646198
46,AFG,0.7912248588498723,0.07026630980991666,0.7824340690526514
47,AFL,0.8956572475312684,-0.10459525065878111,0.5063109721361156
48,AGCO,1.1338752195001827,0.41513590943873396,0.6035611680823451
49,AGEN,1.095968670705727,1.5376902465980278,-1.0475068363068494
50,AGIO,1.2982459349190174,1.400848442896639,-0.03748096220283087
51,AGLE,1.2264074557782336,1.85540824812717,-0.19473612096467613
52,AGNC,0.8496800857266926,0.21426412258608118,0.6891554328301037
53,AGO,1.029069306464277,0.2777583206303451,0.8454955953937888
54,AGR,0.3418931549441918,-0.6118314369405918,0.21880472222498668
55,AGX,0.3677062825158301,0.8294164596003795,0.22456267197453744
56,AGYS,1.0794425784829116,1.48095959905868,0.39590229968162777
57,AHH,0.5658435690426051,0.40369649669573926,0.7919574294424269
58,AHT,1.333953547481444,3.2893604309913984,1.8016872717618966
59,AIG,1.1178373993548796,0.1515889698829903,1.1549782903975636
60,AIMC,2.1025951482492964,0.8308048678416515,0.48268571876978816
61,AIN,1.142666475020929,0.8181701805922064,0.44849313103920213
62,AIR,1.4714113754949376,0.7965160137369746,1.0253270655322553
63,AIT,1.216365963887284,0.558591408454507,0.6408302987987509
64,AIV,0.977009088131992,-0.33316086370596243,0.6107253963197816
65,AIZ,0.5686250718132615,-0.015420268994524942,0.19902723797598726
66,AJG,0.687116786513138,-0.45521471092855786,0.2475649888808143
67,AJRD,0.3575446755285667,0.4657275548956643,-0.1146846797496309
68,AKAM,0.5671324843871973,-0.15959247917239283,-0.18156899911239155
69,AKBA,1.3582064251097243,2.0005225131054707,-0.7384952024749519
70,AKR,1.0912152100569834,0.9793095338925977,1.0954007228140827
71,AL,1.7665461075694369,0.6237051944998404,0.6143394812315487
72,ALB,1.4062061225534024,0.7415836590688283,0.09890297947297866
73,ALBO,1.4433086685746757,0.308351739984283,-0.47224988386085376
74,ALDX,1.3052617291237105,2.1499534591136267,-0.04359068100538388
75,ALE,0.5080557459605276,-0.1634117224695601,0.22998768272381664
76,ALEX,1.0671972686278957,0.4204762875112526,0.9765833785929765
77,ALG,0.8820012920954254,0.22507753560587776,0.3212750303195909
78,ALGN,1.412468944948916,1.3526359104106414,-0.4876946676420395
79,ALGT,1.2806676499432388,1.0768824620839883,0.9486180398065813
80,ALK,1.3000566551067154,0.530029768734944,1.2982923912011843
81,ALKS,0.8588367744175012,0.9875190950883794,-0.10251522442219674
82,ALL,0.7967772419928005,-0.2127014783834018,0.34949821635737804
