gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,act,at,ceq,csho,dltt,dt,ebit,ebitda,icapt,lct,lt,ni,re,sale,xad,costat,prcc_c,mkvalt
28420,20211231,2021,INDL,C,D,STD,BL,USD,1347.688,1817.578,325.036,58.984,1128.311,1133.62,-39.786,-12.658,1482.046,322.577,1463.843,-115.161,-301.437,425.706,9,A,103.54,6107.2034
28499,20211231,2021,INDL,C,D,STD,YUMC,USD,4716,13223,7056,428,2326,2837,779,1295,10248,2383,5301,990,3160,9853,,A,49.84,21331.52
28590,20211231,2021,INDL,C,D,STD,BCO,USD,1999.5,5566.7,123,47.4,3083.5,3276,343.7,580.7,3336.1,1429,5314.1,105.2,-595,4200.2,,A,65.57,3108.018
28629,20211231,2021,INDL,C,D,STD,CPT,USD,,7976.784,4197.49,112.578,2794.07,3180.367,222.813,,7060.325,,3710.529,303.907,-833.192,1165.117,,A,178.68,20115.437
28670,20211231,2021,INDL,C,D,STD,IIPR,USD,,2084.602,1597.69,25.613,327.234,327.234,135.768,,1938.933,,472.903,113.99,-75.218,204.948,,A,262.91,6733.9138
28704,20211231,2021,INDL,C,D,STD,MCRI,USD,84.064,690.459,448.014,18.765,81.65,102.395,89.687,128.115,529.664,141.178,242.445,68.488,410.738,395.377,9.3,A,73.95,1387.6718
28719,20211231,2021,INDL,C,D,STD,CNDT,USD,1680,4036,1132,215.381,1567,1668,130,482,2841,1025,2762,-28,-2780,4140,,A,5.34,1150.1345
28733,20211231,2021,INDL,C,D,STD,EQR,USD,,21169.241,10917.668,375.527,8012.699,8338.667,625.926,,19698.884,,9483.056,1332.85,1792.791,2486.265,,A,90.5,33985.1935
28742,20211231,2021,INDL,C,D,STD,BWA,USD,6597,16575,6948,239.777,4413,4460,1395,2167,11675,3798,9313,537,6120,14838,,A,45.07,10806.7494
28749,20211231,2021,INDL,C,D,STD,FLL,USD,275.372,473.842,112.715,34.243,317.305,321.361,38.23,45.449,430.02,38.053,361.127,11.706,5.092,180.159,2.8,A,12.11,414.6827
28762,20211231,2021,INDL,C,D,STD,SPTN,USD,957.193,2206.782,782.869,35.948,666.091,720.27,90.64,183.351,1448.96,655.838,1423.913,73.751,289.086,8931.039,37.7,A,25.76,926.0205
28769,20211231,2021,INDL,C,D,STD,BFS,USD,,1746.761,220.049,23.84,1076.421,1143.956,107.08,,1606.908,,1216.274,48.389,-216.798,239.232,,A,53.02,1263.9968
